編號,樣本ID,完整檔名,檔案大小(MB)
1016,SRR11267053,SRR11267053_1.fastq,18145.9
1017,SRR11267053,SRR11267053_2.fastq,18145.9
1018,SRR11267054,SRR11267054_1.fastq,13424.0
1019,SRR11267054,SRR11267054_2.fastq,13424.0
1020,SRR11267055,SRR11267055_1.fastq,16960.01
1021,SRR11267055,SRR11267055_2.fastq,16960.01
1022,SRR11267056,SRR11267056_1.fastq,17736.7
1023,SRR11267056,SRR11267056_2.fastq,17736.7
1024,SRR11267057,SRR11267057_1.fastq,14997.16
1025,SRR11267057,SRR11267057_2.fastq,14997.16
1026,SRR11267058,SRR11267058_1.fastq,15528.01
1027,SRR11267058,SRR11267058_2.fastq,15528.01
1028,SRR11267059,SRR11267059_1.fastq,16795.54
1029,SRR11267059,SRR11267059_2.fastq,16795.54
1030,SRR11267060,SRR11267060_1.fastq,19072.41
1031,SRR11267060,SRR11267060_2.fastq,19072.41
1032,SRR11267061,SRR11267061_1.fastq,19280.26
1033,SRR11267061,SRR11267061_2.fastq,19280.26
1034,SRR11267062,SRR11267062_1.fastq,19491.08
1035,SRR11267062,SRR11267062_2.fastq,19491.08
1036,SRR11267063,SRR11267063_1.fastq,18168.81
1037,SRR11267063,SRR11267063_2.fastq,18168.81
1038,SRR11267064,SRR11267064_1.fastq,14456.57
1039,SRR11267064,SRR11267064_2.fastq,14456.57
1040,SRR11267065,SRR11267065_1.fastq,14339.95
1041,SRR11267065,SRR11267065_2.fastq,14339.95
1042,SRR11267066,SRR11267066_1.fastq,15849.66
1043,SRR11267066,SRR11267066_2.fastq,15849.66
1044,SRR11267067,SRR11267067_1.fastq,19790.49
1045,SRR11267067,SRR11267067_2.fastq,19790.49
1046,SRR11267068,SRR11267068_1.fastq,15531.99
1047,SRR11267068,SRR11267068_2.fastq,15531.99
1048,SRR11267069,SRR11267069_1.fastq,13862.82
1049,SRR11267069,SRR11267069_2.fastq,13862.82
1050,SRR11267070,SRR11267070_1.fastq,20817.48
1051,SRR11267070,SRR11267070_2.fastq,20817.48
1052,SRR11267071,SRR11267071_1.fastq,16382.57
1053,SRR11267071,SRR11267071_2.fastq,16382.57
1054,SRR11267072,SRR11267072_1.fastq,15165.57
1055,SRR11267072,SRR11267072_2.fastq,15165.57
1056,SRR11267073,SRR11267073_1.fastq,16354.21
1057,SRR11267073,SRR11267073_2.fastq,16354.21
1058,SRR11267074,SRR11267074_1.fastq,18285.88
1059,SRR11267074,SRR11267074_2.fastq,18285.88
1060,SRR11267075,SRR11267075_1.fastq,18800.2
1061,SRR11267075,SRR11267075_2.fastq,18800.2
1062,SRR11267076,SRR11267076_1.fastq,16092.1
1063,SRR11267076,SRR11267076_2.fastq,16092.1
1064,SRR11267077,SRR11267077_1.fastq,12543.26
1065,SRR11267077,SRR11267077_2.fastq,12543.26
1066,SRR11267078,SRR11267078_1.fastq,14796.66
1067,SRR11267078,SRR11267078_2.fastq,14796.66
1068,SRR11267079,SRR11267079_1.fastq,15424.12
1069,SRR11267079,SRR11267079_2.fastq,15424.12
1070,SRR11267080,SRR11267080_1.fastq,15746.28
1071,SRR11267080,SRR11267080_2.fastq,15746.28
1072,SRR11267081,SRR11267081_1.fastq,12623.71
1073,SRR11267081,SRR11267081_2.fastq,12623.71
1074,SRR12097444,SRR12097444_1.fastq,11914.15
1075,SRR12097444,SRR12097444_2.fastq,11914.15
1076,SRR12097445,SRR12097445_1.fastq,10955.0
1077,SRR12097445,SRR12097445_2.fastq,10955.0
1078,SRR12097446,SRR12097446_1.fastq,11524.24
1079,SRR12097446,SRR12097446_2.fastq,11524.24
1080,SRR12097447,SRR12097447_1.fastq,12641.13
1081,SRR12097447,SRR12097447_2.fastq,12641.13
1082,SRR12180935,SRR12180935_1.fastq,16381.5
1083,SRR12180935,SRR12180935_2.fastq,16381.5
1084,SRR12180936,SRR12180936_1.fastq,3925.25
1085,SRR12180936,SRR12180936_2.fastq,5212.66
1086,SRR12180937,SRR12180937_1.fastq,15909.1
1087,SRR12180937,SRR12180937_2.fastq,15909.1
1088,SRR12180938,SRR12180938_1.fastq,20197.46
1089,SRR12180938,SRR12180938_2.fastq,20197.46
1090,SRR12180939,SRR12180939_1.fastq,16784.51
1091,SRR12180939,SRR12180939_2.fastq,16784.51
1092,SRR12180940,SRR12180940_1.fastq,13705.51
1093,SRR12180940,SRR12180940_2.fastq,13705.51
